otu name,Taxonomy,Percent Homology,evalue,bitscore,homology extract gibbsfree_otu/gibbsfree_homolog,total length gibbsfree_otu/otu_lenth/gibbsfree_homolog/homolog_length,Extraction-Blank-1,Extraction-Blank-2,H2O-Extraction-Blank,MKE-1-2,MKE-1-3,MKE-1-4,MKE-2-1,MKE-2-2,MKE-2-3,MKE-3-3,MKE-3-4,MKE-3-7,MKE-4-B1,MKE-4-B2,MKE-4-B3,MKE-4-Tub-2,MKE-4-Tub-3,MKE-4-Tub-4,MKE-4-UT1,MKE-4-UT2,MKE-4-UT3,MKE-5-B5,MKE-5-B6,MKE-5-B7,MKE-5-T1,MKE-5-T2,MKE-5-B1,MKE-5-Tub1-R1,MKE-5-Tub2-R1,MKE-5-Tub3-R1,MKE-5-UT1,MKE-5-UT2,MKE-5-UT3,MKE-7-2,MKE-7-1,MKE-7-4,MKE-7-Bot-Tub1,MKE-7-Bot-Tub2,MKE-7-Top-Tub1,MKE-7-UT1,MKE-7-UT2,MKE-7-UT3,MKE-8-3,MKE-8-4,MKE-8-5,MKE-9-Cu2,MKE-9-Cu3,MKE-9-Cu4,MKE-13-4,MKE-13-5,MKE-13-6,MKE-14-B1,MKE-14-B2,MKE-14-B3,MKE-16-B1,MKE-16-B2,MKE-16-B3,MKE-16-Tub-R1,MKE-16-Tub-R2,OC-1-G,OC-1-H,OC-1-I,OC-4-3,OC-4-4,OC-4-5,OC-5-3,OC-5-4,OC-5-5,OC-6-1,OC-6-2,OC-6-5,OC-7-4,OC-7-5,OC-7-6,WK1-B1,WK1-B2,WK1-B3,WK2-LP-19-B,WK2-LP-20-B,WK2-LP-21-B,WK2-Fe-1,WK2-Fe-12D,WK2-Fe-3,WK3-B3,WK3-B4,WK3-B5,WK3-Tub-4,WK3-Tub-6,WK3-Tub-7,WK3-UT-1,WK3-UT-2,WK3-UT-3
Zotu89,ab490807.1 collinsella tanakaei str. yit 12063   ;k__bacteria;p__actinobacteria;c__coriobacteriia;o__coriobacteriales;f__coriobacteriaceae;g__collinsella;s__collinsella tanakaei; superkingdom__bacteria;,98.80952381,9.14083e-122,441.308,,,144,104,121,0,132,131,113,125,118,83,0,0,74,28,0,11,3,12,42,15,64,42,64,10,0,57,38,53,59,85,29,54,11,32,0,23,29,42,42,28,33,7,39,59,41,58,65,53,0,0,60,39,56,46,61,45,37,5,5,0,28,0,0,47,60,0,0,0,0,54,0,54,37,37,71,0,23,109,75,85,84,74,122,75,0,53,63,70,48,52,54,161
Zotu90,herbaspirillum massiliense jc206 ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__oxalobacteraceae;g__herbaspirillum;s__herbaspirillum massiliense;superkingdom__bacteria,96.44268775,3.65679e-114,416.061,,,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,910,639,472,300,483,25,113,30,312,0,0,0,18,9,10,45,27,30,6,0,28,5,38,4,17,7,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu91,aj519661.1 uranium mill tailings soil sample clone gubh2_ag_72 proteobacterium  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__moraxellaceae;g__acinetobacter;s__acinetobacter radioresistens;superkingdom__bacteria,100,1.19435e-126,457.539,,,32,44,35,64,24,35,33,21,28,28,1,46,43,41,0,14,8,22,35,14,49,46,98,51,2,69,78,78,64,50,15,52,10,50,0,22,48,46,55,46,61,14,523,45,0,49,107,75,138,0,62,74,52,62,70,60,47,11,3,104,25,24,1,82,60,0,0,0,0,85,1,0,53,78,0,137,36,44,7,45,47,52,47,22,1,55,0,48,31,26,169,79
Zotu92,ab362693.1 halolactibacillus halophilus str. nric 0627  ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__bacillaceae;g__halolactibacillus;s__halolactibacillus halophilus;superkingdom__bacteria,100,1.19435e-126,457.539,,,29,17,19,0,12,22,11,9,9,23,0,0,12,80,1,23,21,31,110,21,77,151,153,0,0,142,204,158,190,139,63,115,47,92,0,0,123,74,132,137,105,43,0,175,0,145,110,165,0,0,122,167,105,148,98,110,87,18,13,0,0,0,0,149,124,0,0,0,0,164,0,0,143,121,0,0,72,44,7,109,45,53,22,31,0,61,52,67,43,109,13,71
Zotu94,ef016119.1 nitrosomonas oligotropha str. as1  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__nitrosomonadales;f__nitrosomonadaceae;g__nitrosomonas;s__nitrosomonas oligotropha;superkingdom__bacteria,100,1.19435e-126,457.539,,,0,0,0,335,1,0,0,3,0,0,0,0,8,30,60,2,1,2,0,1,0,9,21,1069,0,6,122,0,0,14,1,0,0,117,0,959,25,41,12,0,1,0,0,0,0,0,0,0,0,0,0,4,11,27,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu95,candidatus arcobacter sulfidicus ;k__bacteria;p__proteobacteria;c__epsilonproteobacteria;o__campylobacterales;f__campylobacteraceae;g__arcobacter;s__candidatus arcobacter sulfidicus;superkingdom__bacteria;subphylum__delta/epsilon subdivisions,97.6284585,1.66018e-118,430.488,,,10,4,0,0,3,4,3,6,1,0,0,0,1,90,0,14,10,24,78,19,67,86,108,0,0,132,72,138,107,56,27,85,24,82,0,0,53,39,75,84,47,19,0,120,0,95,71,125,0,0,137,84,91,102,89,77,57,8,5,0,12,0,0,113,55,0,0,0,0,74,0,0,97,81,0,0,5,0,20,41,67,24,44,18,0,42,25,54,26,29,43,0
Zotu96,pandoraea thiooxydans ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__burkholderiaceae;g__pandoraea;s__pandoraea thiooxydans;superkingdom__bacteria,97.23320158,7.05926e-117,425.078,,,0,0,0,1,0,0,0,0,0,0,0,0,1,271,54,27,42,926,240,940,3,6,7,107,0,1,11,22,4,18,12,2,21,192,0,213,24,18,50,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,2,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0
Zotu97,undibacterium parvum ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__oxalobacteraceae;g__undibacterium;s__undibacterium parvum;superkingdom__bacteria,98.41897233,3.2049e-121,439.505,,,0,0,0,155,1,1,0,1,0,0,13,94,1,3,135,1,0,10,0,0,1,2,7,72,58,2,68,0,0,0,0,0,0,6,0,36,0,2,1,0,0,0,1220,9,1111,0,0,0,0,0,0,8,5,14,151,51,128,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
Zotu98,clostridium saccharogumia ;k__bacteria;p__firmicutes;c__erysipelotrichia;o__erysipelotrichales;f__erysipelotrichaceae;g__erysipelatoclostridium;s__clostridium saccharogumia;superkingdom__bacteria,92.85714286,1.11456e-101,374.584,,,6,4,6,0,7,8,7,3,13,8,0,0,13,71,0,25,10,35,65,18,78,87,108,0,0,151,100,72,137,87,49,90,21,65,0,0,93,44,92,81,72,21,0,96,0,86,77,93,0,0,173,95,121,101,79,105,49,9,11,0,3,0,0,111,85,0,0,0,0,107,0,0,114,84,0,0,0,23,28,11,13,0,15,12,0,71,23,33,74,39,14,30
Zotu99,eu136693.1 bacteroides nordii str. jcm12987  ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__bacteroidaceae;g__bacteroides;s__bacteroides nordii;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group,100,1.19435e-126,457.539,,,1,0,5,0,6,3,4,2,0,4,0,0,2,41,0,26,10,13,43,30,82,128,96,0,0,159,88,140,121,78,31,57,38,108,0,0,105,72,103,102,54,18,0,88,0,124,108,106,0,0,140,125,137,78,93,125,65,11,9,0,0,0,0,69,100,0,0,1,0,96,0,0,92,101,0,0,31,9,22,43,62,30,13,44,0,51,16,0,20,37,17,32
Zotu100,sideroxydans lithotrophicus  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__nitrosomonadales;f__gallionellaceae;g__sideroxydans;s__sideroxydans lithotrophicus; superkingdom__bacteria;,96.44268775,3.65679e-114,416.061,,,0,0,0,0,0,0,0,0,0,0,0,0,6,59,0,336,990,377,204,275,19,0,0,18,0,0,0,3,2,12,39,21,39,52,0,71,35,30,60,16,56,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu101,hydrotalea flava  ;k__bacteria;p__bacteroidetes;c__chitinophagia;o__chitinophagales;f__chitinophagaceae;g__hydrotalea;s__hydrotalea flava; superkingdom__bacteria;,97.23320158,7.05926e-117,425.078,,,44,8,0,12,0,0,0,0,0,0,65,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,5,1,3,0,3,0,0,6,13,21,0,0,0,0,0,28,0,22,0,332,51,4,7,3,13,7,14,1,2,3,0,35,0,288,0,0,0,0,0,0,0,0,0,35,17,0,15,53,37,113,69,36,15,0,33,434,81,83,65,82,67,84,52
Zotu102,gu130530.1 acinetobacter calcoaceticus str. pvas6  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__moraxellaceae;g__acinetobacter;s__acinetobacter calcoaceticus;superkingdom__bacteria;species group  acinetobacter calcoaceticus/baumannii complex,100,1.19435e-126,457.539,,,6,14,24,10,16,12,11,11,9,9,0,161,6,17,27,12,2,4,21,3,44,37,47,29,6,50,28,56,32,39,14,22,13,31,0,0,19,18,31,27,23,6,0,61,292,30,37,43,0,46,43,28,46,39,33,30,23,0,3,0,0,5,396,24,22,0,0,0,0,22,71,0,24,48,34,36,8,37,4,10,0,25,42,66,0,23,7,23,0,237,44,24
Zotu103,prolixibacter bellariivorans  ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__marinilabiliales;f__prolixibacteraceae;g__prolixibacter;s__prolixibacter bellariivorans; superkingdom__bacteria;,89.32806324,9.82119e-90,334.91,,,0,0,0,0,0,0,0,0,0,0,0,0,0,198,14,13,73,65,119,349,95,0,3,148,0,0,16,12,0,12,281,137,341,26,0,33,112,41,0,32,85,44,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,12,4,0,0,0,0
Zotu104,clostridium ruminantium  ;k__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__clostridiaceae;g__clostridium;s__clostridium ruminantium;superkingdom__bacteria;,98.80952381,9.14083e-122,441.308,,,60,75,50,5,67,58,78,75,54,64,1,0,74,50,48,28,9,26,87,14,66,106,126,0,0,118,102,174,137,79,42,115,42,107,0,0,78,68,99,71,111,24,0,104,0,94,98,96,104,0,118,100,100,115,93,125,99,11,6,0,26,1,0,81,137,0,0,0,4,113,0,0,70,57,0,39,23,11,55,18,42,39,23,8,0,30,28,22,31,20,64,36
Zotu105,clostridium ruminantium  ;k__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__clostridiaceae;g__clostridium;s__clostridium ruminantium;superkingdom__bacteria;,100,4.14993e-126,455.735,,,17,19,29,0,21,20,17,20,15,18,0,0,11,42,0,29,20,24,62,5,62,109,87,0,0,97,92,110,101,83,40,75,45,74,0,1,88,72,75,76,101,23,0,120,0,90,73,101,0,24,115,102,83,68,74,117,86,8,11,0,0,0,0,86,142,0,0,0,0,90,0,0,118,75,0,0,56,79,30,22,19,26,21,14,0,23,34,44,44,6,26,34
Zotu106,eu465383.1 lion feces clone li3_aah76d08   ;k__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__lachnospiraceae;g__blautia;s__blautia producta;superkingdom__bacteria;,100,1.19435e-126,457.539,,,214,226,175,0,222,168,204,228,183,177,0,0,190,28,17,14,3,11,25,10,31,57,61,0,0,52,34,50,39,48,19,36,15,44,0,46,26,29,36,23,49,10,1,28,0,63,54,44,128,0,40,59,49,42,31,31,23,1,3,0,48,0,0,32,31,0,0,0,0,40,0,0,45,48,0,0,75,147,76,152,61,85,84,155,0,112,103,96,99,121,33,70
Zotu107,blautia glucerasea  ;k__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__lachnospiraceae;g__blautia;s__blautia glucerasea;superkingdom__bacteria;,100,1.19435e-126,457.539,,,46,67,57,0,78,64,64,53,76,47,0,0,53,33,2,16,7,24,49,13,57,83,87,0,0,96,75,67,91,46,36,70,26,57,0,24,75,29,68,72,48,18,1,63,0,79,117,76,0,3,81,95,51,98,84,60,42,10,6,0,4,0,0,103,175,0,0,0,0,119,1,0,114,86,0,0,14,18,79,27,10,12,41,69,1,53,26,19,37,73,55,46
Zotu108,eu009196.1 shigella sonnei str. fbd022   ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__enterobacterales;f__enterobacteriaceae;g__shigella;s__shigella sonnei; superkingdom__bacteria;,100,1.19435e-126,457.539,,,8,7,4,0,3,11,2,8,6,12,0,0,15,35,2,27,11,19,54,8,76,131,91,0,0,114,85,107,80,104,42,71,32,69,0,35,77,47,84,93,81,21,37,69,2,103,101,81,0,0,101,134,109,110,98,106,75,11,9,4,26,0,0,109,108,0,0,0,35,101,0,0,92,96,13,9,23,53,20,33,49,52,70,12,0,14,26,71,63,36,42,45
Zotu109,nr_029109.1 paenibacillus xylanilyticus str. xil14 ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__paenibacillaceae;g__paenibacillus;s__paenibacillus xylanilyticus;superkingdom__bacteria,100,4.14993e-126,455.735,,,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,113,0,0,2699,0,0,0,0,16,0,0,0,0,0,13,0,0,0,0,0,0
Zotu110,geothrix fermentans ;k__bacteria;p__acidobacteria;c__holophagae;o__holophagales;f__holophagaceae;g__geothrix;s__geothrix fermentans;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group,100,1.19435e-126,457.539,,,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,331,723,62,35,79,6,0,5,127,0,0,8,16,0,3,104,11,41,119,0,22,119,136,82,5,19,5,0,0,0,0,0,0,0,0,0,0,0,3,32,6,96,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0
Zotu111,subdoligranulum variabile  ;k__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__oscillospiraceae;g__subdoligranulum;s__subdoligranulum variabile;superkingdom__bacteria;,100,1.19435e-126,457.539,,,94,127,93,3,75,114,118,110,105,95,0,0,95,5,0,5,0,3,12,8,15,28,35,9,0,22,8,20,41,16,4,10,4,16,0,0,14,13,20,20,13,2,0,28,0,12,10,14,0,0,25,16,14,16,30,22,7,4,5,0,10,0,0,23,19,0,0,0,0,11,82,0,21,25,0,0,89,45,73,77,48,101,54,109,0,103,42,107,68,27,38,130
Zotu112,eu157188.1 variation fecal microbiology erhualian pigs after being d forty times vitro feces clone a2   ;k__bacteria;p__firmicutes;c__negativicutes;o__veillonellales;f__veillonellaceae;g__megasphaera;s__megasphaera elsdenii; superkingdom__bacteria;,99.6031746,1.76459e-124,450.325,,,135,121,110,4,112,141,137,95,145,127,0,0,120,10,0,4,1,3,11,3,17,12,25,7,9,25,21,19,40,27,16,18,5,24,0,0,25,10,11,15,20,7,0,23,0,26,41,22,80,0,31,14,20,26,12,21,20,1,0,0,0,0,0,20,18,0,0,0,0,19,0,0,26,32,0,0,70,56,84,139,46,78,57,61,0,143,50,52,79,83,87,102
Zotu113,moorella humiferrea ;k__bacteria;p__firmicutes;c__clostridia;o__thermoanaerobacterales;f__thermoanaerobacteraceae;g__moorella;s__moorella humiferrea;superkingdom__bacteria,89.68253968,8.06172e-91,338.516,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,48,772,285,981,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu114,ef590036.2 changes structure sediments songhua river contaminated nitrobenzene _dgge cloning and sequencing nitrobenzene_contaminated river sediment clone b01  ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__desulfovibrionales;f__desulfovibrionaceae;g__desulfovibrio;s__desulfovibrio mexicanus;superkingdom__bacteria;subphylum__delta/epsilon subdivisions,99.20948617,6.18691e-124,448.522,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,79,615,321,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu115,nr_028816.1 turicibacter sanguinis str. mol361  ;k__bacteria;p__firmicutes;c__erysipelotrichia;o__erysipelotrichales;f__turicibacteraceae;g__turicibacter;s__turicibacter sanguinis;superkingdom__bacteria;,99.60474308,5.07852e-125,452.129,,,85,99,110,0,75,87,96,111,105,84,0,160,74,65,0,30,13,27,53,18,53,94,94,0,0,105,114,126,86,73,35,88,23,76,0,34,85,54,106,95,81,32,0,95,0,112,143,86,0,0,102,108,107,89,107,103,55,10,17,0,1,0,0,104,90,0,0,103,1,95,0,0,111,96,0,28,84,36,40,73,27,54,24,19,0,60,127,48,23,95,83,140
Zotu116,nr_028816.1 turicibacter sanguinis str. mol361  ;k__bacteria;p__firmicutes;c__erysipelotrichia;o__erysipelotrichales;f__turicibacteraceae;g__turicibacter;s__turicibacter sanguinis;superkingdom__bacteria;,96.83794466,8.59994e-116,421.471,,,33,24,32,5,33,32,14,27,22,22,0,1,26,58,0,48,14,46,47,18,99,123,141,1,0,108,143,143,132,136,47,77,40,73,0,1,74,41,100,78,110,31,0,128,0,112,118,82,0,0,119,112,116,119,119,89,117,9,6,0,18,2,0,117,150,0,0,3,4,115,3,0,128,83,0,4,24,34,56,40,9,46,57,38,0,45,42,16,27,79,36,48
Zotu117,af432082.1 bifidobacterium catenulatum str. atcc27539   ;k__bacteria;p__actinobacteria;c__actinomycetia;o__bifidobacteriales;f__bifidobacteriaceae;g__bifidobacterium;s__bifidobacterium catenulatum;superkingdom__bacteria;,99.60474308,5.07852e-125,452.129,,,150,155,125,0,133,146,151,118,124,119,1,0,173,5,6,6,3,0,2,3,20,13,10,1,17,14,12,14,14,8,7,3,7,8,0,4,12,5,12,13,10,4,0,6,0,21,27,9,5,3,7,8,11,10,12,3,20,2,1,8,1,6,1,13,8,0,0,0,8,9,0,0,21,1,0,5,80,117,86,94,83,95,54,77,0,120,43,63,67,162,51,31
Zotu118,eu776027.1 spotted hyena feces clone hy2_d10   ;k__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__peptostreptococcaceae;g__peptoclostridium;s__clostridium hiranonis;superkingdom__bacteria;,98.80952381,9.14083e-122,441.308,,,3,5,6,2,10,3,3,2,6,5,0,0,11,46,2,20,11,11,52,17,69,90,112,1,2,116,112,99,116,103,44,68,43,56,0,1,68,56,102,66,67,24,0,83,0,78,78,136,6,0,92,88,99,120,75,97,42,11,12,1,1,3,3,93,103,0,0,3,2,96,1,1,88,73,1,0,12,10,75,38,7,7,25,39,0,41,12,14,28,19,21,70
Zotu119,ay653548.1 geobacter psychrophilus str. p39  ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__desulfuromonadales;f__geobacteraceae;g__geobacter;s__geobacter psychrophilus;superkingdom__bacteria;subphylum__delta/epsilon subdivisions,97.6284585,1.66018e-118,430.488,,,0,0,0,0,0,0,0,0,0,0,0,0,0,35,31,41,206,49,175,367,423,1,0,31,0,0,0,0,0,0,7,3,3,39,0,49,2,1,0,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,18,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,72,167,5,64,7,13,87
Zotu120,sulfuricella denitrificans skb26   ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__nitrosomonadales;f__sulfuricellaceae;g__sulfuricella;s__sulfuricella denitrificans;superkingdom__bacteria;,100,1.19435e-126,457.539,,,0,1,1,0,0,0,0,0,0,1,0,0,0,69,1,3,21,6,106,152,62,4,1,487,0,4,111,12,1,56,291,89,179,33,0,14,138,250,0,46,229,23,0,0,0,0,0,0,0,0,0,0,1,9,29,6,94,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
Zotu121,dq279349.1 variovorax sp. tm3_7  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__comamonadaceae;g__variovorax;s__variovorax paradoxus;superkingdom__bacteria,100,1.19435e-126,457.539,,,3,6,11,28,9,2,11,7,6,5,0,97,9,74,0,27,6,35,49,11,25,82,81,0,0,98,71,65,105,55,40,55,23,64,0,3,72,36,79,79,45,10,0,120,145,55,37,78,0,0,77,72,93,67,68,84,56,5,12,0,2,0,0,100,47,0,0,0,17,100,0,0,76,60,2,0,52,32,59,29,33,68,20,1,0,50,77,16,67,30,26,52
Zotu122,ef999404.1 vertical and methanotrophs estuarine sediments pearl river estuary sediments 50cm depth clone botba49  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__moraxellaceae;g__acinetobacter;s__acinetobacter johnsonii;superkingdom__bacteria,100,1.19435e-126,457.539,,,11,18,14,32,13,8,16,13,14,8,0,0,7,12,72,8,4,4,21,9,5,46,27,172,133,34,33,81,65,40,5,32,11,20,0,0,28,10,22,25,22,3,32,32,1,25,30,30,0,1,80,36,27,19,31,27,40,2,5,0,0,0,0,43,17,0,0,0,23,29,0,88,49,49,0,27,11,45,46,45,21,73,33,69,128,14,80,223,30,39,75,48
Zotu123,eu459388.1 cheetah feces clone ce3_aai06g06   ;k__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__peptostreptococcaceae;g__peptoclostridium;s__clostridium hiranonis;superkingdom__bacteria;,98.41269841,1.11358e-120,437.702,,,16,17,23,0,31,17,20,11,22,14,0,1,16,39,1,26,7,15,50,8,56,47,105,0,0,76,124,54,60,106,31,79,18,65,0,1,79,29,62,94,56,12,0,92,1,119,75,97,0,0,89,67,63,99,70,95,31,12,9,0,0,0,77,103,156,0,0,0,1,102,0,0,84,85,0,0,11,36,31,58,38,87,38,31,0,61,31,63,17,46,46,5
Zotu124,sphingomonas cynarae ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__sphingomonadales;f__sphingomonadaceae;g__sphingomonas;s__sphingomonas cynarae;superkingdom__bacteria,99.20948617,6.18691e-124,448.522,,,0,0,0,841,6,1,0,0,0,0,0,0,15,25,206,5,5,9,0,0,0,18,5,413,0,2,5,0,0,25,0,0,0,18,0,411,21,23,5,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,0,0,0,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu125,am992194.1 micrococcus luteus ts iw 23    ;k__bacteria;p__actinobacteria;c__actinomycetia;o__micrococcales;f__micrococcaceae;g__micrococcus;s__micrococcus luteus;superkingdom__bacteria;,100,1.19435e-126,457.539,,,16,2,6,2,8,12,16,12,5,9,0,0,10,46,1,17,6,28,43,16,59,74,86,21,0,110,88,99,103,59,37,82,22,96,0,6,61,66,91,76,44,28,0,100,0,117,82,76,0,24,124,108,71,74,98,81,45,8,15,0,9,0,0,90,63,0,0,0,0,110,87,0,54,69,0,0,22,52,28,22,12,19,26,35,0,43,11,52,19,17,17,19
Zotu126,x87273.1 bradyrhizobium lupini str. dsm 30140   ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__hyphomicrobiales;f__bradyrhizobiaceae;g__bradyrhizobium;s__bradyrhizobium lupini;superkingdom__bacteria;,100,1.19435e-126,457.539,,,0,0,0,0,1,0,0,1,0,4,0,0,3,97,202,280,409,208,68,95,8,3,5,1,0,0,6,15,5,17,1,1,1,95,0,26,11,32,41,2,11,0,0,0,1,0,0,9,140,20,4,1,14,0,3,1,1,0,1,0,11,3,0,0,0,0,0,1,0,0,0,44,2,8,0,0,8,1,2,0,0,7,0,0,0,11,3,0,0,3,3,11
Zotu127,holophaga foetida ;k__bacteria;p__acidobacteria;c__holophagae;o__holophagales;f__holophagaceae;g__holophaga;s__holophaga foetida;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group,96.04743083,4.45488e-113,412.454,,,0,0,0,18,0,0,0,0,0,0,0,0,0,176,0,28,1021,115,155,404,29,0,0,8,0,0,0,0,0,2,1,4,0,53,0,45,7,9,1,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0
Zotu128,eubacterium tenue  ;k__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__peptostreptococcaceae;g__peptoclostridium;s__eubacterium tenue;superkingdom__bacteria;,98.80952381,9.14083e-122,441.308,,,174,183,182,10,173,165,185,155,197,189,1,0,172,43,20,18,11,12,35,9,37,49,56,0,0,85,85,61,50,59,19,53,13,72,0,54,65,26,39,62,34,20,0,88,1,59,58,46,0,0,67,63,79,44,52,73,15,5,6,26,22,0,0,64,43,0,0,1,77,69,0,0,89,34,4,36,63,80,111,73,80,97,110,119,0,124,54,112,114,134,110,71
Zotu129,af357562.1 mpn_isolate group 14  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__enterococcaceae;g__enterococcus;s__enterococcus cecorum;superkingdom__bacteria,100,1.19435e-126,457.539,,,49,43,40,3,42,50,32,55,45,54,215,0,27,20,18,17,0,14,18,2,41,74,51,34,10,70,31,64,80,44,13,34,9,63,0,36,20,32,54,47,38,16,0,56,0,47,45,31,0,0,75,38,44,55,32,36,34,4,2,0,12,137,0,29,29,0,0,0,0,61,121,12,35,51,0,723,149,35,42,37,33,31,79,25,0,15,21,32,29,40,20,31
Zotu131,candidatus nitrotoga arctica  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__nitrosomonadales;f__gallionellaceae;g__candidatus nitrotoga;s__candidatus nitrotoga arctica; superkingdom__bacteria;,100,1.19435e-126,457.539,,,0,0,0,196,3,0,1,0,0,0,0,0,15,124,1020,6,18,16,2,18,0,2,2,86,0,3,18,0,2,13,0,1,2,42,0,649,26,26,50,7,5,0,0,0,1,0,0,2,0,0,0,0,0,0,6,0,5,0,0,0,12,0,0,0,0,0,0,0,0,1,1,0,0,37,0,0,0,2,0,0,14,24,1,21,0,15,11,8,33,1,4,6
